"","year","month","day","Num","Customer","cust_name","Item","Code","ItemCodeSub","Quantity","UnitPrice","Tax","Amount","Des","ReceiptNo","Product","Amount1","Cost","Profit","Goods"
"1",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Beveled Mirror, Etched Ribbed Glass (75 watt max)","AB20","BakerBeve13",10,1.1,13.0909090909091,144,"71047Baker's Professional Lighting:Store #25Beveled Mirror, Etched Ribbed Glass (75 watt max)",1111,"Beveled Mirror, Etched Ribbed Glass (75 watt max)",-144,66,78,"Beveled Mirror, Etched Ribbed Glass (75 watt max)"
"2",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.","AB22","BakerBlac12",2,5.5,7.63636363636364,84,"71047Baker's Professional Lighting:Store #25Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",1112,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",-84,36,48,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max."
"3",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Burnished Brass (60 watt)  w/Golden Umber Accents","AB37","BakerBurn15",40,0.275,54.5454545454546,600,"71047Baker's Professional Lighting:Store #25Burnished Brass (60 watt)  w/Golden Umber Accents",1113,"Burnished Brass (60 watt)  w/Golden Umber Accents",-600,150,450,"Burnished Brass (60 watt)  w/Golden Umber Accents"
"4",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Cand. Light, 20 watts (8 pack)","AB38","BakerCand20",20,0.55,5.09090909090909,56,"71047Baker's Professional Lighting:Store #25Cand. Light, 20 watts (8 pack)",1114,"Cand. Light, 20 watts (8 pack)",-56,24,32,"Cand. Light, 20 watts (8 pack)"
"5",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Halogen Lamp, 20 watts, Luminous Intensity","AB60","BakerHalo19",2,5.5,1.09090909090909,12,"71047Baker's Professional Lighting:Store #25Halogen Lamp, 20 watts, Luminous Intensity",1115,"Halogen Lamp, 20 watts, Luminous Intensity",-12,6,6,"Halogen Lamp, 20 watts, Luminous Intensity"
"6",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Pearl Nickle, 5 Light, Medium Base (100 watt max)","AB64","BakerPear11",20,0.55,51.8181818181818,570,"71047Baker's Professional Lighting:Store #25Pearl Nickle, 5 Light, Medium Base (100 watt max)",1116,"Pearl Nickle, 5 Light, Medium Base (100 watt max)",-570,240,330,"Pearl Nickle, 5 Light, Medium Base (100 watt max)"
"7",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Pendant Bar, Cobblestone, 50lbs. max","AB65","BakerPend17",20,0.55,4.54545454545455,50,"71047Baker's Professional Lighting:Store #25Pendant Bar, Cobblestone, 50lbs. max",1117,"Pendant Bar, Cobblestone, 50lbs. max",-50,20,30,"Pendant Bar, Cobblestone, 50lbs. max"
"8",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Specialty Bulbs, 100 watt (6 pack)","AB74","BakerSpec16",10,1.1,5,55,"71047Baker's Professional Lighting:Store #25Specialty Bulbs, 100 watt (6 pack)",1118,"Specialty Bulbs, 100 watt (6 pack)",-55,23.75,31.25,"Specialty Bulbs, 100 watt (6 pack)"
"9",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)","AB84","BakerTiff14",4,2.75,46.3636363636364,510,"71047Baker's Professional Lighting:Store #25Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",1119,"Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",-510,240,270,"Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)"
"10",2018,1,6,71047,"Baker's Professional Lighting:Store #25","Ba5","Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max","AB85","BakerVero18",9,1.22222222222222,27.2727272727273,300,"71047Baker's Professional Lighting:Store #25Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max",1120,"Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max",-300,140,160,"Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max"
"11",2018,3,11,71048,"Baker's Professional Lighting:Store #20","Ba4","Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.","AB22","BakerBlac153",1,11,3.81818181818182,42,"71048Baker's Professional Lighting:Store #20Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",1121,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",-42,19.19,22.81,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max."
"12",2018,3,11,71048,"Baker's Professional Lighting:Store #20","Ba4","Broadway Collection, Polished Brass, 6 Light (60 watt max)","AB28","BakerBroa152",5,2.2,19.6363636363636,216,"71048Baker's Professional Lighting:Store #20Broadway Collection, Polished Brass, 6 Light (60 watt max)",1122,"Broadway Collection, Polished Brass, 6 Light (60 watt max)",-216,90,126,"Broadway Collection, Polished Brass, 6 Light (60 watt max)"
"13",2018,3,11,71048,"Baker's Professional Lighting:Store #20","Ba4","Cand. Light, 20 watts (8 pack)","AB38","BakerCand154",10,1.1,2.54545454545455,28,"71048Baker's Professional Lighting:Store #20Cand. Light, 20 watts (8 pack)",1123,"Cand. Light, 20 watts (8 pack)",-28,12,16,"Cand. Light, 20 watts (8 pack)"
"14",2018,3,11,71048,"Baker's Professional Lighting:Store #20","Ba4","Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass","AB45","BakerDie 148",8,1.375,39.0909090909091,430,"71048Baker's Professional Lighting:Store #20Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass",1124,"Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass",-430,190,240,"Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass"
"15",2018,3,11,71048,"Baker's Professional Lighting:Store #20","Ba4","Golden Umber (100 watt)  Six Light Chandelier","AB58","BakerGold150",65,0.169230769230769,57.2727272727273,630,"71048Baker's Professional Lighting:Store #20Golden Umber (100 watt)  Six Light Chandelier",1125,"Golden Umber (100 watt)  Six Light Chandelier",-630,170,460,"Golden Umber (100 watt)  Six Light Chandelier"
"16",2018,3,11,71048,"Baker's Professional Lighting:Store #20","Ba4","Pendant Bar, Cobblestone, 50lbs. max","AB65","BakerPend151",10,1.1,2.27272727272727,25,"71048Baker's Professional Lighting:Store #20Pendant Bar, Cobblestone, 50lbs. max",1126,"Pendant Bar, Cobblestone, 50lbs. max",-25,11.37,13.63,"Pendant Bar, Cobblestone, 50lbs. max"
"17",2018,3,11,71048,"Baker's Professional Lighting:Store #20","Ba4","Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass","AB67","BakerPoli149",17,0.647058823529412,44.5454545454545,490,"71048Baker's Professional Lighting:Store #20Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass",1127,"Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass",-490,224,266,"Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass"
